"customerID","InvoiceDate","DueDate","SettledDate","InvoiceAmount","DaysLate","On Time"
"0379-NEVHP","1/2/2013","2/1/2013","1/15/2013","55.94","0","On Time"
"8976-AMJEO","1/26/2013","2/25/2013","3/3/2013","61.74","6","1-30 days"
"2820-XGXSB","7/3/2013","8/2/2013","7/8/2013","65.88","0","On Time"
"9322-YCTQO","2/10/2013","3/12/2013","3/17/2013","105.92","5","1-30 days"
"6627-ELFBK","10/25/2012","11/24/2012","11/28/2012","72.27","4","1-30 days"
"5148-SYKLB","1/27/2012","2/26/2012","2/22/2012","94","0","On Time"
"8690-EEBEO","8/13/2013","9/12/2013","9/9/2013","74.69","0","On Time"
"4460-ZXNDN","12/16/2012","1/15/2013","1/12/2013","75.06","0","On Time"
"3831-FXWYK","5/14/2012","6/13/2012","7/1/2012","80.07","18","1-30 days"
"7654-DOLHO","7/1/2013","7/31/2013","7/26/2013","48.33","0","On Time"
"3993-QUNVJ","3/31/2012","4/30/2012","4/16/2012","75.33","0","On Time"
"5284-DJOZO","8/7/2013","9/6/2013","8/15/2013","73.35","0","On Time"
"5924-UOPGH","5/8/2013","6/7/2013","6/9/2013","90.08","2","1-30 days"
"9117-LYRCE","10/21/2012","11/20/2012","11/30/2012","57.17","10","1-30 days"
"7695-NKUXM","11/7/2012","12/7/2012","11/18/2012","50.02","0","On Time"
"8820-BLYDZ","2/21/2013","3/23/2013","2/28/2013","61.96","0","On Time"
"8976-AMJEO","5/16/2013","6/15/2013","6/4/2013","69.88","0","On Time"
"5148-SYKLB","5/29/2013","6/28/2013","7/10/2013","68.8","12","1-30 days"
"3568-JJMFW","10/20/2013","11/19/2013","11/9/2013","96.23","0","On Time"
"5613-UHVMG","11/30/2012","12/30/2012","1/16/2013","42.01","17","1-30 days"
"6833-ETVHD","11/4/2012","12/4/2012","11/29/2012","86.65","0","On Time"
"7758-WKLVM","6/24/2012","7/24/2012","8/7/2012","71.49","14","1-30 days"
"6004-KITZM","1/6/2013","2/5/2013","1/29/2013","88.16","0","On Time"
"9841-XLGBV","2/16/2013","3/18/2013","3/6/2013","26.44","0","On Time"
"8690-EEBEO","2/18/2012","3/19/2012","3/30/2012","83.33","11","1-30 days"
"8156-PCYBM","1/24/2012","2/23/2012","3/3/2012","72.7","9","1-30 days"
"7946-HJDUR","5/29/2013","6/28/2013","6/22/2013","41.69","0","On Time"
"3831-FXWYK","12/24/2012","1/23/2013","1/31/2013","24.46","8","1-30 days"
"2621-XCLEH","3/31/2013","4/30/2013","5/25/2013","70.93","25","1-30 days"
"8887-NCUZC","5/31/2012","6/30/2012","7/4/2012","40.07","4","1-30 days"
"9286-VLKMI","5/27/2013","6/26/2013","5/29/2013","58.19","0","On Time"
"6833-ETVHD","7/27/2012","8/26/2012","8/18/2012","72.13","0","On Time"
"6160-HCSFI","1/13/2012","2/12/2012","2/4/2012","72.72","0","On Time"
"1080-NDGAE","2/19/2012","3/20/2012","3/26/2012","93.48","6","1-30 days"
"6296-UKEUZ","9/21/2013","10/21/2013","9/25/2013","46.55","0","On Time"
"6831-FIODB","10/23/2012","11/22/2012","11/30/2012","32.58","8","1-30 days"
"6296-UKEUZ","4/23/2013","5/23/2013","4/24/2013","34.63","0","On Time"
"5148-SYKLB","9/28/2012","10/28/2012","10/30/2012","89.15","2","1-30 days"
"0379-NEVHP","8/5/2013","9/4/2013","8/21/2013","43.64","0","On Time"
